,ask*0.996,ask*0.997,ask*0.998,ask*0.999,ask*1.000,ask*1.001,ask*1.002,ask*1.003,ask*1.004,ask*1.005,ask*1.006,ask*1.007,ask*1.008,ask*1.009,ask*1.010,Market
2016-12-01T00:00,0.9617081455211086,0.9617081455211086,0.9617081455211086,0.9617081455211086,0.895356553713887,0.832623254612795,0.5033491534619605,0.4999390883629676,0.44243040922323496,0.4567737758251931,0.4937531058776789,0.5322711568194213,0.5604968146074898,0.5758258820251229,0.6155676081907312,1.0176361878247189
2016-12-01T01:00,0.8981440253410253,0.8981440253410253,0.8981440253410253,0.8981440253410253,0.894103988416819,0.33597491411204716,0.31344123659199186,0.31084020947522917,0.3212254013814018,0.33145115370327793,0.3510851926817545,0.3701517348347612,0.38654428599344426,0.42092648651965164,0.4830052344948151,0.8632862084277568
2016-12-01T02:00,0.9705265404636362,0.9705265404636362,0.9705265404636362,0.9705265404636362,0.7127338602565024,0.2864019836318825,0.27069609301934006,0.3490337802637321,0.36999702531776335,0.384486148308476,0.41030701060527053,0.4172848555575562,0.42913787377821144,0.46519389901158453,0.5178741300437877,0.8433047751115295
2016-12-01T03:00,0.6686629987175403,0.6668755299348733,0.6668755299348733,0.6664152028839149,0.3973176999899012,0.11497569948937594,0.13615747376107462,0.17874310991676612,0.2148222520247197,0.22252667319337613,0.2529620979777495,0.27350049116651787,0.3546741864564508,0.5065471176487097,0.5195224181493892,0.6373661431945348
2016-12-01T04:00,0.9750543745439987,0.9750543745439987,0.9750543745439987,0.9750543745439987,0.9624856847076783,0.9624856847076783,0.9624856847076783,0.9615716227225947,0.8656518212356256,0.4628529228641104,0.49138191805601944,0.5128738511116241,0.5279795017603366,0.5319975940315705,0.5428137691608856,0.9811382198982287
2016-12-01T05:00,1.2421557797797782,1.2421557797797782,1.2421557797797782,1.2421557797797782,1.2185687431485586,1.2185687431485586,1.2185323538000046,0.9243015589292191,0.8305666403151873,0.6114825457156271,0.449955618499221,0.4508383971400599,0.45624962804540337,0.4731005919331748,0.5104738006517482,0.790545095674082
2016-12-01T06:00,0.8233365608663257,0.8233365608663257,0.8233365608663257,0.8230791665120681,0.8225858273330514,0.8224718767074625,0.7684271058848825,0.6598066883840453,0.5246867177540372,0.480561013739915,0.47980759901544195,0.4795971255070025,0.47885175435611044,0.5450637708001954,0.6266457157426035,0.7089060020561481
2016-12-01T07:00,0.30012506964610114,0.2933308108184903,0.202967301972538,0.11533645551330755,-0.013877338525770644,-0.04129879085319897,0.006462698369377109,0.03994916530976507,0.06325826793593634,0.11174098770046512,0.2958217274124499,0.3052351215970291,0.31874350252535705,0.3721386036478477,0.40812667207911646,0.4470210324720232
2016-12-01T08:00,0.6817723371714466,0.6817723371714466,0.6817723371714466,0.6817723371714466,0.6771089469311313,0.551772807229825,0.386889512532166,0.3669781074314914,0.3492906778198685,0.3411307484983692,0.3200979887287196,0.33292532268671354,0.46678670176278336,0.4696663619628296,0.47065925595374064,0.5726851351138
2016-12-01T09:00,1.0436781933458246,1.0350218237331594,1.035019148298268,1.0267841596820477,0.9848213010234494,0.880427169018677,0.527930594894858,0.3649711929715927,0.35044625691004144,0.3493359514273524,0.34917810076837,0.4152720444899848,0.42829739929118893,0.5619433987538744,0.5855902301003486,0.6475412628823326
